root    singlet_ref_weight    triplet_ref_weight    quintet_ref_weight  
1       0.92753               0.91582               0.91642             
2       0.92772               0.91574               0.91643             
3       0.92769               0.91574               0.91751             
4       0.92798               0.91626               0.91703             
5       0.92830               0.91598               0.91703             
6       0.92830               0.91665               0.91852             
7       0.92809               0.91564               0.91736             
8       0.92809               0.91564               0.91824             
9       0.92750               0.91495               0.91685             
10      0.92196               0.91319               0.87215             
11      0.92226               0.91256               0.87218             
12      0.91961               0.91281               0.87267             
13      0.92004               0.91281               0.87271             
14      0.92073               0.91270               0.86951             
15      0.92071               0.91270               0.87164             
16      0.92325               0.91342               0.87861             
17      0.92325               0.91319               0.88190             
18      0.92078               0.91488               0.88017             
19      0.92051               0.91488               0.88191             
20      0.92250               0.91281               0.87374             
21      0.92219               0.91200               0.88014             
22      0.92220               0.91203               0.88013             
23      0.92318               0.91467               0.87820             
24      0.92318               0.91506               0.87819             
25      0.92355               0.91506               0.87250             
26      0.92355               0.91259               0.87673             
27      0.92237               0.91261               0.87673             
28      0.92260               0.91395               0.86925             
29      N/A                   0.91394               0.87348             
30      N/A                   0.91420               0.87347             
31      N/A                   0.91390               0.87351             
32      N/A                   0.91339               0.87573             
33      N/A                   0.91290               0.87573             
34      N/A                   0.91290               0.85052             
35      N/A                   0.91349               0.85501             
36      N/A                   0.91097               0.84521             
37      N/A                   0.91131               0.84375             
38      N/A                   0.91072               0.84518             
39      N/A                   0.91039               0.85075             
40      N/A                   0.91715               0.84933             
41      N/A                   0.91715               0.85076             
42      N/A                   0.91575               0.84405             
43      N/A                   0.91598               0.85505             
44      N/A                   0.91598               0.86238             
45      N/A                   0.91423               0.86626             
46      N/A                   0.87760               0.87224             
47      N/A                   0.87760               0.85408             
48      N/A                   0.88077               0.86706             
49      N/A                   0.85731               0.86541             
50      N/A                   0.85732               0.87330             
51      N/A                   0.86204               0.87275             
52      N/A                   0.87935               0.83823             
53      N/A                   0.87903               0.83893             
54      N/A                   0.87902               0.84007             
55      N/A                   0.87893               0.84011             
56      N/A                   0.87775               0.84098             
57      N/A                   0.87801               0.84102             
58      N/A                   0.87642               0.84543             
59      N/A                   0.87631               0.83663             
60      N/A                   0.87744               0.83756             
61      N/A                   0.87782               0.83661             
62      N/A                   0.87566               0.84274             
63      N/A                   0.87526               0.79935             
64      N/A                   0.87716               0.79918             
65      N/A                   0.87715               0.79993             
66      N/A                   0.87817               0.79977             
67      N/A                   0.86574               0.79183             
68      N/A                   0.86483               0.79759             
69      N/A                   0.86481               0.77731             
70      N/A                   0.86486               0.77728             
71      N/A                   0.85952               N/A                 
72      N/A                   0.85957               N/A                 
73      N/A                   0.85781               N/A                 
74      N/A                   0.85800               N/A                 
75      N/A                   0.85872               N/A                 
76      N/A                   0.85875               N/A                 
77      N/A                   0.86203               N/A                 
78      N/A                   0.86203               N/A                 
79      N/A                   0.85797               N/A                 
80      N/A                   0.85827               N/A                 
81      N/A                   0.86184               N/A                 
82      N/A                   0.88154               N/A                 
83      N/A                   0.88154               N/A                 
84      N/A                   0.88350               N/A                 
85      N/A                   0.88341               N/A                 
86      N/A                   0.88341               N/A                 
87      N/A                   0.88395               N/A                 
88      N/A                   0.88078               N/A                 
89      N/A                   0.88177               N/A                 
90      N/A                   0.88177               N/A                 
