step        name              wall_time_s     wall_time_min    wall_time_h
RASSCF      singlet           471.96          7.87             0.131
RASSCF      triplet           313.52          5.23             0.087
RASSCF      quintet           200.90          3.35             0.056
CASPT2      singlet_root1     615.05          10.25            0.171
CASPT2      singlet_root2     612.81          10.21            0.170
CASPT2      singlet_root3     613.06          10.22            0.170
CASPT2      singlet_root4     612.91          10.22            0.170
CASPT2      singlet_root5     621.07          10.35            0.173
CASPT2      singlet_root6     612.99          10.22            0.170
CASPT2      singlet_root7     613.58          10.23            0.170
CASPT2      singlet_root8     612.83          10.21            0.170
CASPT2      singlet_root9     627.72          10.46            0.174
CASPT2      singlet_root10    612.74          10.21            0.170
CASPT2      singlet_root11    619.70          10.33            0.172
CASPT2      singlet_root12    613.88          10.23            0.171
CASPT2      singlet_root13    618.03          10.30            0.172
CASPT2      singlet_root14    613.82          10.23            0.171
CASPT2      singlet_root15    621.23          10.35            0.173
CASPT2      singlet_root16    613.10          10.22            0.170
CASPT2      singlet_root17    612.92          10.22            0.170
CASPT2      singlet_root18    621.18          10.35            0.173
CASPT2      singlet_root19    613.01          10.22            0.170
CASPT2      singlet_root20    620.89          10.35            0.172
CASPT2      singlet_root21    613.60          10.23            0.170
CASPT2      singlet_root22    612.82          10.21            0.170
CASPT2      singlet_root23    612.88          10.21            0.170
CASPT2      singlet_root24    613.05          10.22            0.170
CASPT2      singlet_root25    612.97          10.22            0.170
CASPT2      singlet_root26    618.87          10.31            0.172
CASPT2      singlet_root27    613.84          10.23            0.171
CASPT2      singlet_root28    614.91          10.25            0.171
CASPT2      triplet_root1     738.51          12.31            0.205
CASPT2      triplet_root2     852.64          14.21            0.237
CASPT2      triplet_root3     772.52          12.88            0.215
CASPT2      triplet_root4     866.56          14.44            0.241
CASPT2      triplet_root5     856.71          14.28            0.238
CASPT2      triplet_root6     853.37          14.22            0.237
CASPT2      triplet_root7     1095.33         18.26            0.304
CASPT2      triplet_root8     1093.88         18.23            0.304
CASPT2      triplet_root9     854.39          14.24            0.237
CASPT2      triplet_root10    1091.87         18.20            0.303
CASPT2      triplet_root11    741.20          12.35            0.206
CASPT2      triplet_root12    862.29          14.37            0.240
CASPT2      triplet_root13    738.36          12.31            0.205
CASPT2      triplet_root14    867.07          14.45            0.241
CASPT2      triplet_root15    776.27          12.94            0.216
CASPT2      triplet_root16    854.44          14.24            0.237
CASPT2      triplet_root17    854.28          14.24            0.237
CASPT2      triplet_root18    1091.86         18.20            0.303
CASPT2      triplet_root19    1089.70         18.16            0.303
CASPT2      triplet_root20    862.04          14.37            0.239
CASPT2      triplet_root21    741.67          12.36            0.206
CASPT2      triplet_root22    866.70          14.45            0.241
CASPT2      triplet_root23    870.62          14.51            0.242
CASPT2      triplet_root24    775.10          12.92            0.215
CASPT2      triplet_root25    772.19          12.87            0.214
CASPT2      triplet_root26    854.03          14.23            0.237
CASPT2      triplet_root27    417.97          6.97             0.116
CASPT2      triplet_root28    866.07          14.43            0.241
CASPT2      triplet_root29    847.14          14.12            0.235
CASPT2      triplet_root30    419.18          6.99             0.116
CASPT2      triplet_root31    852.63          14.21            0.237
CASPT2      triplet_root32    1095.22         18.25            0.304
CASPT2      triplet_root33    859.39          14.32            0.239
CASPT2      triplet_root34    741.32          12.36            0.206
CASPT2      triplet_root35    418.15          6.97             0.116
CASPT2      triplet_root36    867.01          14.45            0.241
CASPT2      triplet_root37    853.64          14.23            0.237
CASPT2      triplet_root38    740.94          12.35            0.206
CASPT2      triplet_root39    1094.41         18.24            0.304
CASPT2      triplet_root40    1093.43         18.22            0.304
CASPT2      triplet_root41    1096.10         18.27            0.304
CASPT2      triplet_root42    853.15          14.22            0.237
CASPT2      triplet_root43    1095.19         18.25            0.304
CASPT2      triplet_root44    866.45          14.44            0.241
CASPT2      triplet_root45    1093.89         18.23            0.304
CASPT2      triplet_root46    750.52          12.51            0.208
CASPT2      triplet_root47    426.05          7.10             0.118
CASPT2      triplet_root48    749.08          12.48            0.208
CASPT2      triplet_root49    1097.42         18.29            0.305
CASPT2      triplet_root50    750.55          12.51            0.208
CASPT2      triplet_root51    791.06          13.18            0.220
CASPT2      triplet_root52    861.43          14.36            0.239
CASPT2      triplet_root53    858.86          14.31            0.239
CASPT2      triplet_root54    780.28          13.00            0.217
CASPT2      triplet_root55    780.06          13.00            0.217
CASPT2      triplet_root56    1097.31         18.29            0.305
CASPT2      triplet_root57    427.10          7.12             0.119
CASPT2      triplet_root58    1097.33         18.29            0.305
CASPT2      triplet_root59    1096.28         18.27            0.305
CASPT2      triplet_root60    426.22          7.10             0.118
CASPT2      triplet_root61    751.86          12.53            0.209
CASPT2      triplet_root62    748.64          12.48            0.208
CASPT2      triplet_root63    787.01          13.12            0.219
CASPT2      triplet_root64    746.60          12.44            0.207
CASPT2      triplet_root65    747.17          12.45            0.208
CASPT2      triplet_root66    785.99          13.10            0.218
CASPT2      triplet_root67    791.82          13.20            0.220
